Street,City,Area_detail,Rooms,Bathrooms,Parking_spaces,Price,Is_mensal,Neighborhood
,São Paulo,470,4,8,6,18000000,False,Jardim Paulista
,São Paulo,363,3,3,3,1650000,False,Lapa
Rua Petrópolis,São Paulo,400,4,6,4,3000000,False,Sumaré
,São Paulo,600,3,6,5,12000000,False,Jardim Luzitânia
,São Paulo,643,4,4,7,18000000,False,Jardim Europa
,São Paulo,180,5,3,2,600000,False,Vila Guarani
Rua Maria Clara Martins da Silveira,São Paulo,161,2,4,3,640000,False,Jurubatuba
,São Paulo,1400,5,9,5,55000,True,Jardim Leonor
,São Paulo,330,3,6,3,3200000,False,Sumaré
Largo Mestre de Aviz,São Paulo,454,4,6,4,3850000,False,Jardim Luzitânia
,São Paulo,312,3,4,5,3150000,False,Boaçava
Rua Maestro Elias Lobo,São Paulo,300,3,6,3,4900000,False,Jardim Paulista
,São Paulo,503,4,5,4,3600000,False,Cidade Jardim
Rua Constantino Fraga,São Paulo,140,2,2,3,980000,False,Vila Hamburguesa
Avenida Ireré,São Paulo,430,4,5,3,2780000,False,Planalto Paulista
,São Paulo,550,4,6,6,4950000,False,Granja Julieta
,São Paulo,670,4,5,6,5000000,False,Alto de Pinheiros
Avenida Armando Ferrentini,São Paulo,247,3,5,2,1590000,False,Paraíso
,São Paulo,301,4,3,4,4200000,False,Jardim América
Rua Vicente Leporace,São Paulo,480,7,8,4,2750000,False,Campo Belo
,São Paulo,394,4,4,3,2500000,False,Vila Tramontano
Praça Conde de Barcelos,São Paulo,279,5,5,4,4300000,False,Alto de Pinheiros
Rua Doutor Aldo de Assis Dias,São Paulo,125,3,2,2,730000,False,Vila Isa
Rua Bartira,São Paulo,200,2,2,1,1400000,False,Perdizes
,São Paulo,900,4,7,6,40000,True,Jardim Sílvia
,São Paulo,155,3,4,2,1600000,False,Vila Cruzeiro
Rua Quirino Pucca,São Paulo,80,1,1,2,480000,False,Vila Romana
,São Paulo,240,4,5,2,2990000,False,Sumarezinho
,São Paulo,373,3,2,4,3500000,False,Santo Amaro
Rua Conde de Ipanema,São Paulo,500,3,5,5,1450000,False,Parque Colonial
,São Paulo,614,5,6,8,9000000,False,Jardim Leonor
Rua Camacam,São Paulo,138,2,2,3,699000,False,Vila Anastácio
,São Paulo,764,3,5,4,48000,True,Alto de Pinheiros
,São Paulo,304,4,6,6,12000,True,Brooklin Paulista
,São Paulo,430,5,7,12,2000000,False,Alto da Lapa
Rua Bennet,São Paulo,531,4,3,6,3500000,False,Alto de Pinheiros
,São Paulo,520,4,7,6,8000,True,Vila Sônia
Rua Alberto Hodge,São Paulo,271,6,6,2,1650000,False,Santo Amaro
,São Paulo,501,4,5,14,12000000,False,Jardim Europa
,São Paulo,1060,5,6,4,30000000,False,Jardim Paulista
,São Paulo,420,4,4,6,3800000,False,Jardim das Bandeiras
Rua Mauricina,São Paulo,170,2,2,4,1250000,False,Vila Romana
Rua Nova York,São Paulo,380,5,3,6,2500000,False,Brooklin Paulista
Rua José Aldo Piassi,São Paulo,200,3,1,5,650000,False,São Miguel Paulista
,São Paulo,520,3,8,10,3723000,False,Alto de Pinheiros
,São Paulo,600,4,6,6,7000000,False,Vila Madalena
,São Paulo,388,4,4,3,8000000,False,Pacaembu
,São Paulo,450,4,5,3,4300000,False,Pacaembu
Rua Nova York,São Paulo,380,5,3,6,2500000,False,Brooklin Paulista
Rua José Aldo Piassi,São Paulo,200,3,1,5,650000,False,São Miguel Paulista
,São Paulo,520,3,8,10,3723000,False,Alto de Pinheiros
,São Paulo,600,4,6,6,7000000,False,Vila Madalena
,São Paulo,388,4,4,3,8000000,False,Pacaembu
,São Paulo,450,4,5,3,4300000,False,Pacaembu
Rua Sampaio Vidal,São Paulo,380,4,4,4,5100000,False,Jardim Paulistano
,São Paulo,220,3,3,4,1290000,False,Itaberaba
,São Paulo,483,4,4,3,3900000,False,Granja Julieta
,São Paulo,350,3,4,4,3800000,False,Cidade Jardim
Rua Tomé Portes,São Paulo,480,4,6,3,9000,True,Brooklin Paulista
Rua Camundo,São Paulo,155,3,4,3,790000,False,Planalto Paulista
Rua Wilson Dupont,São Paulo,170,3,3,1,905000,False,Santana
Rua Tapinas,São Paulo,156,4,3,2,1820000,False,Itaim Bibi
,São Paulo,385,3,5,4,9800000,False,Jardim Luzitânia
,São Paulo,283,3,5,3,3000000,False,Chácara Santo Antônio
,São Paulo,505,4,7,4,18000,True,Jardim Guedala
Rua Arapuã,São Paulo,138,3,3,2,550000,False,Vila Guarani
Rua Bolívia,São Paulo,420,4,5,6,8900000,False,Jardim América
,São Paulo,456,4,5,11,3200000,False,Pacaembu
,São Paulo,174,3,2,2,640000,False,Vila Salete
,São Paulo,1100,4,4,14,12800000,False,Cidade Jardim
Rua Simpatia,São Paulo,476,4,3,4,3640000,False,Jardim das Bandeiras
,São Paulo,960,4,6,6,4800000,False,Jardim Guedala
Rua Inácio Pedroso,São Paulo,678,4,6,6,7300000,False,Jardim Guedala
Rua Doutor Manoel Maria Tourinho,São Paulo,495,5,5,4,4000000,False,Pacaembu
Rua Apinajés,São Paulo,200,3,4,3,2660000,False,Perdizes
,São Paulo,280,4,2,2,2450000,False,Indianópolis
Rua Vieira de Almeida,São Paulo,130,3,2,5,1200000,False,Ipiranga
Rua Irmão Gonçalo,São Paulo,815,6,5,8,8000000,False,Jardim das Bandeiras
,São Paulo,320,3,3,3,3750000,False,Alto de Pinheiros
,São Paulo,420,5,4,4,4650000,False,Alto de Pinheiros
,São Paulo,200,3,3,2,1160000,False,Vila Cruzeiro
Rua Afonso José de Carvalho,São Paulo,180,3,2,4,1600000,False,Vila Madalena
Rua Muribeca,São Paulo,420,4,5,3,3000000,False,Cidade Jardim
,São Paulo,256,3,4,4,822000,False,Chora Menino
,São Paulo,229,2,3,1,420000,False,Vila Campo Grande
,São Paulo,491,4,5,8,4600000,False,Jardim Ana Maria
Rua Thereza Masironi Gonfiantini,São Paulo,147,3,3,2,500000,False,Vila Nova Alba
,São Paulo,300,4,4,4,1600000,False,Vila Nova Caledonia
Rua Maracaibo,São Paulo,600,3,7,6,4950000,False,Jardim Everest
Rua Barão do Bananal,São Paulo,106,3,2,2,920000,False,Vila Pompéia
Rua Artur de Souza Marques,São Paulo,1000,4,5,6,25000,True,Vila Tramontano
Travessa Doutor Ezequiel Antunes de Oliveira,São Paulo,170,3,4,3,2690000,False,Vila Nova Conceição
,São Paulo,330,3,3,2,5800000,False,Vila Madalena
,São Paulo,748,5,6,6,43000,True,Jardim Paulistano
,São Paulo,1171,5,7,10,16000000,False,Pacaembu
,São Paulo,380,3,4,5,2800000,False,Campo Belo
Rua Abegoaria,São Paulo,686,4,6,6,5800000,False,Pinheiros
Rua Pedro Osório Filho,São Paulo,180,3,3,2,650000,False,Vila Nova Cachoeirinha
,São Paulo,240,3,4,4,3000000,False,Jardim Trussardi
Alameda dos Guatás,São Paulo,90,2,4,2,750000,False,Saúde
,São Paulo,520,6,6,5,2500000,False,Pacaembu
Alameda dos Anapurus,São Paulo,218,3,3,3,1690000,False,Indianópolis
Rua Portugal,São Paulo,319,3,3,4,5000000,False,Jardim Europa
,São Paulo,414,4,5,5,1780000,False,Vila Tramontano
,São Paulo,709,4,5,10,9600000,False,Pacaembu
,São Paulo,301,4,3,4,6950000,False,Jardim Paulista
Rua Antônio de Gouveia Giudice,São Paulo,331,3,5,3,3500000,False,Alto de Pinheiros
Rua Comandante Garcia D'Ávila,São Paulo,393,6,6,4,1390000,False,Morumbi
,São Paulo,1126,4,6,24,6400000,False,Vila Cordeiro
Rua Dom Henrique,São Paulo,395,4,7,3,6600000,False,Jardim Luzitânia
,São Paulo,862,4,9,8,8250000,False,Jardim Guedala
Rua Luiz Amorim Costa,São Paulo,160,3,2,3,400000,False,Vila Carolina
,São Paulo,428,5,7,3,2800000,False,Campo Belo
,São Paulo,550,4,1,6,4800000,False,Cidade Jardim
Avenida Celso dos Santos,São Paulo,100,2,2,2,480000,False,Vila Constança
,São Paulo,92,2,1,2,340000,False,Vila Carbone
,São Paulo,316,3,3,6,6000000,False,Alto de Pinheiros
,São Paulo,350,4,4,4,2000000,False,Brooklin Paulista
,São Paulo,180,3,1,3,750000,False,Penha de França
Rua Turquia,São Paulo,1100,4,6,8,19000000,False,Pinheiros
,São Paulo,1000,5,8,8,30000000,False,Jardim América
Rua Gama Cerqueira,São Paulo,281,3,5,3,1490000,False,Cambuci
,São Paulo,1150,5,7,7,27000000,False,Jardim Paulista
Rua Almeida Ferraz,São Paulo,126,4,3,3,695000,False,Parque Jabaquara
Rua Pirapó,São Paulo,650,3,3,3,5500000,False,Jardim Guedala
Rua Jupuruchita,São Paulo,190,3,1,3,1049400,False,Alto da Mooca
Rua Senador Vergueiro,São Paulo,350,3,4,6,2950000,False,Santo Amaro
Rua Líbero Ripole,São Paulo,250,3,1,1,950000,False,Jardim Umuarama
Rua Orobó,São Paulo,295,4,4,4,4000000,False,Alto de Pinheiros
,São Paulo,250,3,5,3,750000,False,Vila Adalgisa
,São Paulo,270,3,4,3,2080000,False,Santo Amaro
,São Paulo,378,4,4,7,2000000,False,Mirandópolis
Rua Canumá,São Paulo,900,5,10,9,12000,True,Jardim dos Estados
,São Paulo,422,5,8,6,4500000,False,Boaçava
Rua Engenheiro Pedro Garcin,São Paulo,110,2,1,2,480000,False,Vila Antônio
Rua Mário Guastini,São Paulo,700,5,7,5,9500000,False,Pinheiros
Rua Domingos Lopes,São Paulo,145,3,3,2,900000,False,Campo Belo
Rua Ática,São Paulo,174,3,4,1,599000,False,Jardim Brasil
Rua Ajurapéia,São Paulo,210,3,1,2,1050000,False,Vila Madalena
,São Paulo,491,4,8,4,3100000,False,Jardim Leonor
Avenida Iraí,São Paulo,420,4,7,4,1800000,False,Indianópolis
Rua Nova Orleans,São Paulo,150,2,3,4,1590000,False,Brooklin Paulista
Rua Maria Teresa Assunção,São Paulo,160,3,3,2,636000,False,Vila São Geraldo
Rua Vicente Romano,São Paulo,341,4,3,4,2300000,False,Parque da Mooca
Rua Manuel Galvão,São Paulo,106,3,3,2,450000,False,Mooca
,São Paulo,815,4,6,4,25500000,False,Jardim América
,São Paulo,560,4,6,3,6800000,False,Jardim Guedala
Rua Stefan Marek Neuding,São Paulo,1643,4,8,10,4495000,False,Jardim Sílvia
Rua Alemanha,São Paulo,600,4,4,7,13500000,False,Jardim Europa
Rua Kalil Filho,São Paulo,225,3,2,2,1850000,False,Indianópolis
Rua Pau,Brasil,296,3,2,5,2750000,False,
,São Paulo,340,9,5,5,21000,True,Consolação
,São Paulo,200,4,6,4,3600000,False,Vila Cordeiro
,São Paulo,158,2,1,1,480000,False,Jardim Monte Kemel
Rua David Pimentel,São Paulo,900,4,8,9,35000,True,Fazenda Morumbi
Avenida Doutor Cardoso de Melo,São Paulo,200,2,3,2,2900000,False,Vila Olímpia
,São Paulo,240,5,7,6,2980000,False,Pacaembu
Rua Raqueta Provensano,São Paulo,140,2,1,2,1400000,False,Chácara Califórnia
,São Paulo,300,4,2,4,8500,True,Jardim Paulistano
,São Paulo,115,3,1,1,500000,False,Jardim Bonfiglioli
,São Paulo,300,4,5,4,5500000,False,Jardim Paulista
Rua Professor Murtinho,São Paulo,290,4,5,2,2900000,False,Vila Mariana
Rua Alexandre Marcondes Machado,São Paulo,371,3,4,3,2800000,False,Butantã
Rua Marquês de Cascais,São Paulo,146,3,4,3,1500000,False,Brooklin Paulista
,São Paulo,650,3,4,3,6500000,False,Jardim Guedala
,São Paulo,961,4,12,9,6500000,False,Fazenda Morumbi
,São Paulo,440,4,6,6,5750000,False,Vila Ida
,São Paulo,722,4,11,10,6200000,False,Alto de Pinheiros
Rua Topázio,São Paulo,300,4,5,4,1900000,False,Vila Mariana
,São Paulo,170,2,3,3,3300000,False,Itaim Bibi
Rua Maracaí,São Paulo,420,3,6,4,11005,True,Aclimação
Rua Doutor Augusto de Miranda,São Paulo,110,3,3,1,970000,False,Vila Pompéia
,São Paulo,380,3,1,2,1900000,False,Pacaembu
,São Paulo,374,5,4,6,3200000,False,Jardim Panorama
Rua Dom Lucas Obes,São Paulo,140,3,2,2,750000,False,Ipiranga
Rua Dezenove de Maio,São Paulo,170,3,3,2,680000,False,Vila Esperança
Rua Morishigue Akagui,São Paulo,700,4,8,5,7800000,False,Vila Progredior
Rua Miranda Guerra,São Paulo,255,3,3,5,1400000,False,Jardim Petrópolis
Rua General Sena Vasconcelos,São Paulo,521,4,7,4,3750000,False,Jardim Guedala
,São Paulo,800,4,6,8,23600000,False,Jardim Europa
,São Paulo,433,4,4,10,6000000,False,Boaçava
Rua Antônio Mariani,São Paulo,100,3,4,3,6500,True,Instituto de Previdência
,São Paulo,125,3,1,3,599000,False,Jardim Ester
,São Paulo,250,3,3,4,1200000,False,Interlagos
Rua Capital Federal,São Paulo,646,5,4,3,2640000,False,Sumaré
,São Paulo,422,4,8,6,20000,True,Jardim Guedala
,São Paulo,918,5,3,16,9000000,False,Jardim Guedala
,São Paulo,480,5,3,3,8200000,False,Jardim América
,São Paulo,850,4,6,6,5990000,False,Jardim Leonor
,São Paulo,410,2,2,4,3000000,False,Cidade Jardim
,São Paulo,935,5,6,4,12000000,False,Jardim Paulista
,São Paulo,559,4,6,4,6100000,False,Alto de Pinheiros
Rua Capital Federal,São Paulo,646,5,4,3,2640000,False,Sumaré
,São Paulo,422,4,8,6,20000,True,Jardim Guedala
,São Paulo,918,5,3,16,9000000,False,Jardim Guedala
,São Paulo,480,5,3,3,8200000,False,Jardim América
,São Paulo,850,4,6,6,5990000,False,Jardim Leonor
,São Paulo,410,2,2,4,3000000,False,Cidade Jardim
,São Paulo,935,5,6,4,12000000,False,Jardim Paulista
,São Paulo,559,4,6,4,6100000,False,Alto de Pinheiros
Rua Rodrigo Vieira,São Paulo,235,4,4,2,1700000,False,Jardim Vila Mariana
,São Paulo,450,5,5,3,1355010,False,Instituto de Previdência
,São Paulo,800,4,4,8,20000,True,Caxingui
Rua Catuicara,São Paulo,220,4,5,3,2700000,False,Jardim Novo Mundo
Rua Grécia,São Paulo,265,5,6,4,4800000,False,Jardim Europa
Rua General Fonseca Teles,São Paulo,420,3,7,3,8700000,False,Jardim Paulista
Rua Dom Tomás Costa e Lima,São Paulo,600,3,6,8,4900000,False,Vila Tramontano
Rua Adalívia de Toledo,São Paulo,500,4,4,5,2500000,False,Paineiras do Morumbi
,São Paulo,815,4,3,4,3000000,False,Paineiras do Morumbi
Rua Margarida Galvão,São Paulo,580,3,4,6,4100000,False,Paineiras do Morumbi
,São Paulo,229,2,3,1,420000,False,Vila Campo Grande
,São Paulo,491,4,5,8,4600000,False,Jardim Ana Maria
Rua Thereza Masironi Gonfiantini,São Paulo,147,3,3,2,500000,False,Vila Nova Alba
,São Paulo,300,4,4,4,1600000,False,Vila Nova Caledonia
Rua Maracaibo,São Paulo,600,3,7,6,4950000,False,Jardim Everest
Rua Barão do Bananal,São Paulo,106,3,2,2,920000,False,Vila Pompéia
Rua Artur de Souza Marques,São Paulo,1000,4,5,6,25000,True,Vila Tramontano
Travessa Doutor Ezequiel Antunes de Oliveira,São Paulo,170,3,4,3,2690000,False,Vila Nova Conceição
,São Paulo,330,3,3,2,5800000,False,Vila Madalena
,São Paulo,748,5,6,6,43000,True,Jardim Paulistano
,São Paulo,1171,5,7,10,16000000,False,Pacaembu
,São Paulo,380,3,4,5,2800000,False,Campo Belo
Rua Abegoaria,São Paulo,686,4,6,6,5800000,False,Pinheiros
Rua Pedro Osório Filho,São Paulo,180,3,3,2,650000,False,Vila Nova Cachoeirinha
,São Paulo,240,3,4,4,3000000,False,Jardim Trussardi
Alameda dos Guatás,São Paulo,90,2,4,2,750000,False,Saúde
,São Paulo,520,6,6,5,2500000,False,Pacaembu
Rua Conde de Irajá,São Paulo,369,3,1,3,1950000,False,Vila Mariana
Rua Professor João Marinho,São Paulo,165,3,4,2,1490000,False,Vila Mariana
Rua Doutor José Maria Whitaker,São Paulo,259,3,3,2,1500000,False,Vila Sônia
Rua Ulisses Cruz,São Paulo,117,2,1,1,495000,False,Tatuapé
Rua Acruás,São Paulo,158,2,1,2,1200000,False,Vila Congonhas
Avenida Professor Frederico Herman Júnior,São Paulo,347,5,5,5,3500000,False,Alto de Pinheiros
Rua Vicente Biondo,São Paulo,226,3,1,4,670000,False,Vila Ester
Rua Caetano José Batista,São Paulo,150,3,1,2,691000,False,Jardim das Acácias
Rua Xavier da Veiga,São Paulo,300,4,2,4,1596000,False,Santana
Rua Professor Oliveira Fausto,São Paulo,360,4,1,4,1600000,False,Alto da Mooca
Rua Japuanga,São Paulo,400,3,1,5,4043000,False,Vila Ida
Rua Simpatia,São Paulo,250,2,1,6,2000000,False,Jardim das Bandeiras
Rua Baturité,São Paulo,208,3,1,3,1383000,False,Aclimação
Rua Oscar Caravelas,São Paulo,324,6,2,4,1800000,False,Sumarezinho
Rua Laurindo de Brito,São Paulo,260,3,2,4,1200000,False,Lapa
Rua Timbó,São Paulo,170,3,1,2,1000000,False,Mooca
Rua Frei Juan Auli,São Paulo,150,2,3,5,455000,False,Jardim Patente
Avenida Piassanguaba,São Paulo,182,3,1,2,980000,False,Planalto Paulista
Rua Boquim,São Paulo,235,3,3,5,2500000,False,Vila Ida
Rua Gil Fernandes,São Paulo,388,3,4,4,1700000,False,Bosque da Saúde
,São Paulo,350,4,5,4,14000,True,Morumbi
Rua Gregório Paes de Almeida,São Paulo,400,4,5,6,2490000,False,Vila Madalena
,São Paulo,420,4,4,3,3000000,False,Brooklin Paulista
Rua Lourenço Castanho,São Paulo,177,3,4,3,2850000,False,Vila Nova Conceição
Rua Prestes João,São Paulo,550,2,5,5,7000000,False,Jardim Luzitânia
Rua Martins Bonilha,São Paulo,175,6,3,2,1300000,False,Alto da Mooca
Rua Manuel Navarro,São Paulo,595,5,7,5,5500000,False,Jardim Guedala
Rua Antônio de Gouveia Giudice,São Paulo,483,5,1,4,5000000,False,Alto de Pinheiros
Rua Honduras,São Paulo,500,4,6,8,7000000,False,Jardim Paulista
,São Paulo,450,3,2,4,3000000,False,Cidade Jardim
Rua Paris,São Paulo,150,3,3,2,1200000,False,Sumaré
,São Paulo,600,3,5,5,12000,True,Jardim América
,São Paulo,220,3,5,2,4950000,False,Jardim Paulista
Rua Pedro Mainente,São Paulo,173,3,2,4,750000,False,Parque dos Príncipes
,São Paulo,340,4,4,4,4500000,False,Alto de Pinheiros
,São Paulo,700,4,6,2,30000,True,Jardim Paulistano
Rua Capital Federal,São Paulo,230,4,2,1,1500000,False,Sumaré
,São Paulo,422,5,8,6,4500000,False,Boaçava
Rua Engenheiro Pedro Garcin,São Paulo,110,2,1,2,480000,False,Vila Antônio
,São Paulo,327,5,4,4,3000000,False,Boaçava
Rua Mário Guastini,São Paulo,700,5,7,5,9500000,False,Pinheiros
Rua Domingos Lopes,São Paulo,145,3,3,2,900000,False,Campo Belo
Rua Jardim Hollywood,São Paulo,250,4,4,5,1750000,False,Santana
Rua Ática,São Paulo,174,3,4,1,599000,False,Jardim Brasil
Rua Ajurapéia,São Paulo,210,3,1,2,1050000,False,Vila Madalena
,São Paulo,491,4,8,4,3100000,False,Jardim Leonor
Avenida Iraí,São Paulo,420,4,7,4,1800000,False,Indianópolis
Rua Nova Orleans,São Paulo,150,2,3,4,1590000,False,Brooklin Paulista
Rua Maria Teresa Assunção,São Paulo,160,3,3,2,636000,False,Vila São Geraldo
Rua Vicente Romano,São Paulo,341,4,3,4,2300000,False,Parque da Mooca
Rua Manuel Galvão,São Paulo,106,3,3,2,450000,False,Mooca
,São Paulo,815,4,6,4,25500000,False,Jardim América
,São Paulo,560,4,6,3,6800000,False,Jardim Guedala
Rua Stefan Marek Neuding,São Paulo,1643,4,8,10,4495000,False,Jardim Sílvia
Rua Alemanha,São Paulo,600,4,4,7,13500000,False,Jardim Europa
Rua Kalil Filho,São Paulo,225,3,2,2,1850000,False,Indianópolis
Rua Pau,Brasil,296,3,2,5,2750000,False,
,São Paulo,340,9,5,5,21000,True,Consolação
,São Paulo,200,4,6,4,3600000,False,Vila Cordeiro
,São Paulo,158,2,1,1,480000,False,Jardim Monte Kemel
Rua David Pimentel,São Paulo,900,4,8,9,35000,True,Fazenda Morumbi
Avenida Doutor Cardoso de Melo,São Paulo,200,2,3,2,2900000,False,Vila Olímpia
Rua Abagiba,São Paulo,180,2,1,2,745000,False,Saúde
,São Paulo,488,5,7,6,4250000,False,Boaçava
,São Paulo,500,4,5,5,4900000,False,Jardim dos Estados
,São Paulo,1141,5,5,10,100000,True,Jardim América
Rua Benedito Chaves,São Paulo,433,5,4,8,6500000,False,Jardim Paulistano
,São Paulo,560,4,5,4,4750000,False,Jardim Leonor
Rua Leopoldo Fróes,São Paulo,170,3,3,5,950000,False,Alto da Mooca
Rua Colatino Marques,São Paulo,548,4,6,6,6200000,False,Jardim Paulista
Rua General Euclides Figueiredo,São Paulo,455,4,5,6,1580000,False,Morumbi
Rua França,São Paulo,952,3,7,10,22000000,False,Jardim Europa
Rua Iraci,São Paulo,250,3,3,3,2100000,False,Jardim Paulistano
Rua General Euclides Figueiredo,São Paulo,455,4,5,6,1580000,False,Morumbi
Rua França,São Paulo,952,3,7,10,22000000,False,Jardim Europa
Rua Iraci,São Paulo,250,3,3,3,2100000,False,Jardim Paulistano
,São Paulo,1356,5,12,26,15000,True,Retiro Morumbi
Rua Comendador Bichara Moherdauí,São Paulo,798,5,7,8,4950000,False,Jardim Leonor
,São Paulo,380,4,5,5,5200000,False,Alto de Pinheiros
Largo Mestre de Aviz,São Paulo,454,4,6,4,3850000,False,Jardim Luzitânia
Rua Macejana,São Paulo,89,3,1,2,638500,False,Indianópolis
,São Paulo,168,3,1,4,900000,False,Vila São Silvestre
,São Paulo,2100,7,14,12,19800000,False,Retiro Morumbi
Rua Escócia,São Paulo,601,4,5,4,8500000,False,Pinheiros
,São Paulo,713,5,7,8,4000000,False,Morumbi
Rua Elias Cutait,São Paulo,280,3,3,4,9000,True,Cidade Jardim
Rua Monsanto,São Paulo,420,4,4,6,2900000,False,Pinheiros
,São Paulo,1650,6,16,42,100000,True,Vila Tramontano
Rua João Bizarro da Nave,São Paulo,178,3,1,3,450000,False,Vila Diva
,São Paulo,428,7,6,4,3300000,False,Vila Ida
,São Paulo,170,2,3,2,2300000,False,Jardim América
Rua Gustavo Teixeira,São Paulo,350,3,2,4,2700000,False,Pacaembu
,São Paulo,150,3,2,2,640000,False,Chácara Tatuapé
,São Paulo,540,4,5,6,5000000,False,Boaçava
Rua Sanharó,São Paulo,420,3,6,6,3500000,False,Jardim Guedala
Rua das Fiandeiras,São Paulo,141,2,2,1,1500000,False,Vila Olímpia
,São Paulo,490,4,6,5,3800000,False,Alto de Pinheiros
,São Paulo,725,3,8,10,25000,True,Jardim Guedala
,São Paulo,380,4,5,4,3650000,False,Vila Ida
,São Paulo,510,4,3,5,10000,True,Alto de Pinheiros
Rua Duartina,São Paulo,402,4,4,4,3800000,False,Sumaré
Rua Manoel Jacinto do Rego,São Paulo,191,3,3,2,1150000,False,Vila Romana
,São Paulo,621,4,4,15,6900000,False,Jardim Leonor
,São Paulo,462,5,6,6,5320000,False,Vila Ida
Rua Tefé,São Paulo,452,3,4,2,2300000,False,Sumaré
Rua Antônio Splendore,São Paulo,280,3,5,8,2050000,False,Interlagos
,São Paulo,878,4,6,8,15499000,False,Jardim Europa
Rua Argentina,São Paulo,880,3,5,10,20000000,False,Jardim América
Rua Vieira de Morais,São Paulo,116,3,2,1,890000,False,Campo Belo
Rua Costa Aguiar,São Paulo,219,3,1,1,1172000,False,Ipiranga
Avenida das Corujas,São Paulo,110,3,1,4,2021300,False,Sumarezinho
,São Paulo,250,4,6,4,1915000,False,Planalto Paulista
,São Paulo,300,4,7,3,20000,True,Vila Ida
Rua Ulisses Esteves Costa,São Paulo,305,3,3,2,1700000,False,Santana
Rua Humberto I,São Paulo,300,3,3,5,1800000,False,Vila Mariana
Rua Irmão Gonçalo,São Paulo,810,6,5,8,5700000,False,Jardim das Bandeiras
Rua Berlioz,São Paulo,400,4,5,4,40000,True,Alto de Pinheiros
,São Paulo,450,4,7,7,1950000,False,Jardim Morumbi
,São Paulo,586,4,4,5,1680000,False,Lar São Paulo
Rua Lauro Freire,São Paulo,120,3,1,2,638500,False,Jardim Celeste
,São Paulo,170,3,5,3,2300000,False,Vila Nova Conceição
,São Paulo,231,2,2,2,4570000,False,Jardim Paulista
,São Paulo,650,5,6,4,6000000,False,Jardim América
,São Paulo,793,6,6,7,16000,True,Morumbi
Rua Lessing,São Paulo,90,3,2,1,452000,False,Chácara Belenzinho
,São Paulo,440,5,4,5,15000,True,Jardim América
,São Paulo,465,4,5,4,3500000,False,Vila Tramontano
Rua Elias Cutait,São Paulo,280,3,1,3,3500000,False,Cidade Jardim
Rua Damiana da Cunha,São Paulo,382,3,1,5,1908000,False,Santa Teresinha
Rua Cordisburgo,São Paulo,550,4,1,6,3310000,False,Jardim Leonor
Rua Anatólia,São Paulo,650,3,5,2,8000000,False,Boaçava
Rua Demóstenes,São Paulo,253,3,2,4,1950000,False,Campo Belo
,São Paulo,500,6,5,10,20000,True,Consolação
Avenida Ireré,São Paulo,337,3,4,10,2150000,False,Planalto Paulista
Avenida Itacira,São Paulo,361,4,6,4,2300000,False,Planalto Paulista
Avenida Diógenes Ribeiro de Lima,São Paulo,190,3,3,5,10000,True,Alto de Pinheiros
Rua Nigéria,São Paulo,197,2,4,3,2565000,False,Itaim Bibi
Rua Marechal Bitencourt,São Paulo,900,5,4,12,15000000,False,Jardim Paulista
Rua dos Pássaros,São Paulo,117,3,3,3,1277000,False,Mooca
Rua Vespasiano,São Paulo,550,4,2,6,2980000,False,Vila Romana
,São Paulo,164,4,3,2,905000,False,Santo Amaro
,São Paulo,564,6,8,7,10000,True,Jardim Guedala
Rua Fernão Dias,São Paulo,220,6,2,4,1750000,False,Pinheiros
,São Paulo,250,3,3,3,22000,True,Vila Madalena
Rua Engenheiro Guimarães Valadão,São Paulo,360,4,3,2,12000,True,Cidade Jardim
Rua Doutor Octávio de Oliveira Santos,São Paulo,190,4,3,3,1350000,False,Brooklin Paulista
,São Paulo,700,5,7,16,20000,True,Jardim Leonor
Rua Jovina,São Paulo,170,4,4,3,950000,False,Vila Mascote
Rua Francisco Correia Dutra,São Paulo,94,2,2,2,429000,False,Jardim Maria Luiza
,São Paulo,383,4,5,9,15000,True,Boaçava
Rua Ytaipu,São Paulo,200,2,1,2,915000,False,Mirandópolis
,São Paulo,1000,4,6,8,10000000,False,Cidade Jardim
Rua João Lourenço,São Paulo,470,4,4,4,7500000,False,Moema
,São Paulo,358,3,5,4,3900000,False,Pacaembu
,São Paulo,933,4,7,9,8600000,False,Jardim Guedala
Rua Veneza,São Paulo,380,3,3,2,15000,True,Jardim Paulista
,São Paulo,950,5,4,10,45000,True,Pacaembu
,São Paulo,487,4,4,4,4400000,False,Granja Julieta
,São Paulo,439,4,4,5,3900000,False,Planalto Paulista
,São Paulo,250,3,3,3,2100000,False,Jardim Paulistano
,São Paulo,580,4,6,6,2900000,False,Vila Tramontano
,São Paulo,419,3,5,4,4800000,False,Boaçava
Rua General Sena Vasconcelos,São Paulo,500,4,3,5,2500000,False,Jardim Guedala
,São Paulo,400,5,2,4,8790000,False,Jardim Europa
Rua Principado de Mônaco,São Paulo,360,4,5,3,3100000,False,Pacaembu
Rua Caucaia do Alto,São Paulo,497,3,3,5,920000,False,Vila Albertina
,São Paulo,306,4,4,3,1790000,False,Instituto de Previdência
Rua Cuxiponês,São Paulo,160,3,2,3,1350000,False,Jardim Vera Cruz
Rua Alemanha,São Paulo,551,3,5,3,7700000,False,Jardim Europa
,São Paulo,450,5,6,4,3600000,False,Real Parque
,São Paulo,1080,5,9,10,25000,True,Jardim Guedala
